ротационные,класс лазера{13};точность нивелирования (по вертикали){7};габариты (ДхШхВ){34};зарядное устройство{43};рабочий диапазон без приемника (радиус){4};время самовыравнивания{9};поверка{26};тип выравнивания{8};углы развертки при сканировании{25};линейный режим{22};кол-во лазерных диодов{12};кейс (сумка){40};возможность установки на штатив{28};тип регулировки скорости вращения{19};относительная влажность воздуха{32};настенный держатель{38};длина волны лазерного диода{14};вес{35};направление лучей{17};рабочий диапазон с приемником (радиус){5};кол-во ступеней скорости вращения{20};время работы на 1 заряде батарей{2};угол самовыравнивания{10};штатив{37};точечный режим{23};диапазон рабочих температур{30};пульт ДУ{41};питание{1};регулировка скорости вращения{18};степень защищенности корпуса{33};аккумулятор(ы){42};мощность лазерного диода{15};класс прибора{36};функция сканирования{24};точность нивелирования (по горизонтали){6};диапазон скорости вращения{21};время работы на 1 заряде аккум.{3};отключение выравнивания{11};лазерный приемник{39};диаметр резьбы под штатив{29};ЖК-дисплей{27};диапазон температур хранения{31};цвет лазера{16}
линейные,"чехол{37};поверка{22};радиус действия без приёмника (импульсный режим){4};радиус действия с приёмником{5};время самовыравнивания{9};диапазон рабочих температур{27};раздельное включение лучей{15};автоматика отключения при простое{23};угол самовыравнивания{8};степень защищенности корпуса{30};сумка (кейс){38};класс лазера{17};класс прибора{33};звуковой сигнал \""Вне уровня\""{11};цвет лазера{20};аккумуляторы{40};питание{0};возможность установки на штатив{25};min длительность импульса{21};лазерный приемник{34};точность нивелирования{6};диапазон температур хранения{28};время отключения при простое{24};отключение самовыравнивания{10};габариты (ДхШхВ){31};продолжительность работы (от батарей){1};длина волны лазерного излучения{18};штатив{35};визуальный сигнал \""Вне уровня\""{12};направление лучей{14};зарядное устройство{41};радиус действия без приёмника{3};диаметр резьбы под штатив{26};угол развертки{16};батарейки{39};тип выравнивания{7};относительная влажность воздуха{29};настенный держатель{36};кол-во лучей{13};вес{32};импульсный режим{2};мощность лазерного излучения{19}"
сканеры уровня пола,кол-во скоростей вращения{18};угол самонивелирования{7};класс прибора{29};мощность лазерного излучения{13};батарейка(и) в комплекте{31};автоматика отключения при простое{21};назначение{0};рабочий диапазон{4};диапазон температур хранения{24};вращение прибора при сканировании{16};точность нивелирования{6};габариты (ДхШхВ){27};скорость вращения{19};класс лазера{11};пульт ДУ в комплекте{30};цвет лазера{14};аккумулятор(ы) в комплекте{32};питание{1};время отключения при простое{22};продолжительность работы (от аккум.){3};рабочий диапазон (с отражающей пластиной){5};относительная влажность воздуха{25};регулировка скорости вращения{17};тип выравнивания{8};вес{28};кейс в комплекте{35};длина волны лазерного излучения{12};управление дистанционным пультом{20};поверка{15};зарядное устройство в комплекте{33};продолжительность работы (от батареек){2};диапазон рабочих температур{23};проекция{10};время самовыравнивания{9};степень защищенности корпуса{26}
точечные,"точность нивелирования (луч вниз){4};направление лазерных точек{14};габариты (ДхШхВ){28};питание{0};мощность лазерного излучения{17};штатив{31};время самовыравнивания{10};автоматика отключения при простое{20};кейс{34};угол самовыравнивания (по продольной оси){7};диаметр резьбы под штатив{23};зарядное устройство{37};визуальный сигнал \""Вне уровня\""{12};относительная влажность воздуха{26};точность нивелирования (горизонтальный луч){5};класс лазера{15};вес{29};продолжительность работы (от батарей){1};цвет лазера{18};настенный держатель{32};точность нивелирования (луч вверх){3};время отключения при простое{21};батарейки{35};отключение выравнивания{9};диапазон рабочих температур{24};угол самовыравнивания (по поперечной оси){8};проекция{13};степень защищенности корпуса{27};длина волны лазерного излучения{16};класс прибора{30};рабочий диапазон (без приёмника){2};поверка{19};чехол{33};тип выравнивания{6};возможность установки на штатив{22};аккумуляторы{36};звуковой сигнал \""Вне уровня\""{11};диапазон температур хранения{25}"
линейно-точечные,"относительная влажность воздуха{32};рабочий диапазон без приёмника (точка вниз){5};класс лазера{21};вес{35};продолжительность работы (от батарей){1};цвет лазера{24};точность нивелирования (горизонтальные точки){8};настенный держатель{39};тип выравнивания{11};время отключения при простое{27};рабочий диапазон с приёмником{6};батарейки{42};время самовыравнивания{14};диапазон рабочих температур{30};рабочий диапазон без приёмника (горизонтальные точки){3};проекция{17};степень защищенности корпуса{33};точность нивелирования (точка вниз){9};длина волны лазерного излучения{22};класс прибора{36};рабочий диапазон без приёмника (линии){2};поверка{25};точность нивелирования (точка вверх){10};чехол{40};угол самовыравнивания{12};возможность установки на штатив{28};лазерный приемник{37};аккумуляторы{43};звуковой сигнал \""Вне уровня\""{15};диапазон температур хранения{31};рабочий диапазон без приёмника (точка вверх){4};направление лазерных точек{19};габариты (ДхШхВ){34};питание{0};мощность лазерного излучения{23};направление лазерных линий{20};штатив{38};точность нивелирования (линии){7};автоматика отключения при простое{26};раздельное включение лучей{18};сумка (кейс){41};отключение выравнивания{13};диаметр резьбы под штатив{29};зарядное устройство{44};визуальный сигнал \""Вне уровня\""{16}"
лазерные угольники,кол-во лучей{4};настенное крепление в комплекте{19};длина волны лазерного излучения{6};автоматика отключения при простое{9};диапазон температур хранения{12};вес{15};диапазон видимости лучей{1};цвет лазера{8};проецирование лучей{3};чехол в комплекте{20};мощность лазерного излучения{7};время отключения при простое{10};относительная влажность воздуха{13};габариты{16};угловая точность{2};элементы питания в комплекте{18};класс лазера{5};кейс в комплекте{21};диапазон рабочих температур{11};степень защищенности корпуса{14};питание{0};класс прибора{17}
оптические,min фокусное расстояние{12};габариты прибора (ДхШхВ){21};защита от пыли влаги{18};точность на 1 км двойного хода{3};зеркало круглого уровня{4};класс прибора{20};градуировка горизонтального лимба{7};рабочий диапазон{0};тип компенсатора{14};диаметр объектива{9};кейс в комплекте{23};степень защиты от пыли влаги{19};точность настройки{2};точность круглого уровня{5};диаметр резьбы под штатив{17};изображение{8};коэффициент умножения{13};диапазон работы компенсатора{15};увеличение зрительной трубы{10};штатив в комплекте{24};точность нивелирования{1};вес прибора{22};встроенный горизонтальный лимб{6};возможность установки на штатив{16};поле зрения{11}
детекторы,класс прибора{22};степень защиты от пыли влаги{10};шкала точного поиска{16};габариты прибора (ДхШхВ){20};обнаруживаемые материалы{1};звуковой сигнал при обнаружении объекта{13};max глубина обнаружения (электропроводка){4};подсветки дисплея{18};относительная влажность воздуха{8};max глубина обнаружения (древесина){5};автоматика отключения при простое{11};вес прибора{21};max глубина обнаружения (чёрные металлы){2};автоматическая калибровка{15};диапазон рабочих температур{6};индикатор заряда батареи{19};защита от пыли влаги{9};отключение звукового сигнала{14};время отключения при простое{12};питание{0};чехол в комплекте{23};max глубина обнаружения (цветные металлы){3};индикатор центра объекта{17};диапазон температур хранения{7}
"угломеры, уклономеры, уровни",точность нивелирования лазера{14};размеры прибора (ДxШxВ){28};длина волны лазерного излучения{17};чехол в комплекте{31};диаметр резьбы под штатив{27};диапазон измерений{4};точность измерения уклона в диапазоне 1° - 89° (электроника){7};встроенные в корпус магниты{20};диапазон рабочих температур{22};встроенный лазер{11};время отключения при простое{25};кол-во лазерных лучей{15};вес прибора{29};мощность лазерного излучения{18};тип прибора{0};удлинительная линейка в комплекте{32};дальность действия лазера{13};точность измерения угла (электроника){5};встроенные жидкостные капсулы{8};отверстия для захвата{21};диапазон температур хранения{23};питание лазера{12};длина уровня{1};класс лазера{16};класс прибора{30};возможность установки на штатив{26};питание прибора{3};точность измерения уклона в диапазоне 0°/90° (электроника){6};материал корпуса{19};погрешность (пузырьковый уровень){10};кол-во жидкостных капсул{9};длина шланга{2};автоматика отключения при простое{24}
рулетки,чехол в комплекте{20};точность электронных показаний{10};механизм сматывания{0};объём памяти{13};стопор ленты{8};диапазон рабочих температур{17};материал корпуса{5};источник питания{16};класс прибора{19};тип дисплея{11};защитное покрытие ленты{4};автоматика отключения при простое{14};электронный счетчик показаний{9};диапазон температур хранения{18};вес прибора{6};длина ленты{1};ширина ленты{2};функция памяти{12};магнитный зацеп{7};время отключения при простое{15};материал ленты{3}
